,CondTempCirc1,Data_EVD_Emb_1.EVD.Variables.EEV_PosPercent.Val,DscgTempCirc1,EbmpapstFan_1_Mng.ElectrInfo_EBM_1.CurrPower,EvapTempCirc1,ExtTemp,FiltPress,InvInfoCirc1.Info_MotPwr,PumpPress,SubCoolCir1,SuctSH_Circ1,UnitStatus,W_InTempUser,W_OutTempEvap,W_OutTempUser,WaterFlowMeter,timestamp
272,28.5,42.1,49.1,42.1,2.8,22.9,0.3,0.6,4.5,2.7,6.5,9.0,9.2,6.9,6.9,30.7,2020-11-04T13:28:50.278Z
273,29.0,41.3,49.0,41.3,2.9,23.0,0.3,0.6,4.5,2.7,6.5,9.0,9.2,6.9,6.9,30.7,2020-11-04T13:29:19.859Z
274,28.5,16.5,47.3,21.1,3.6,24.9,1.1,0.3,4.1,3.4,7.2,9.0,10.0,9.6,9.4,64.9,2020-10-08T06:54:55.557Z
275,28.4,13.3,46.6,21.0,3.4,24.8,1.1,0.3,4.1,3.6,7.2,9.0,9.9,9.5,9.3,65.0,2020-10-08T06:54:18.874Z
276,35.0,67.1,58.7,31.4,4.1,26.8,1.1,1.6,4.1,2.9,8.5,9.0,12.4,10.7,10.7,65.1,2020-10-08T04:07:14.819Z
277,44.2,75.8,79.7,43.3,4.8,39.1,0.4,2.8,4.5,2.4,8.5,9.0,13.8,9.6,9.9,36.0,2020-09-03T00:24:55.624Z
278,44.2,76.3,79.4,43.3,4.7,39.0,0.4,2.8,4.5,2.5,8.6,9.0,13.9,9.6,9.9,36.0,2020-09-03T00:24:45.114Z
279,41.6,48.8,71.4,39.1,2.1,36.2,0.8,1.4,4.2,2.3,5.8,9.0,7.6,5.9,5.8,54.5,2020-08-12T17:30:03.011Z
280,41.5,48.8,71.4,38.8,2.0,36.2,0.8,1.4,4.2,2.2,5.9,9.0,7.6,5.9,5.8,54.7,2020-08-12T17:30:08.005Z
281,45.3,74.2,66.3,43.0,8.2,38.3,0.7,2.4,4.3,2.9,8.3,9.0,16.4,14.2,14.4,50.2,2020-09-02T16:45:29.885Z
282,46.0,70.6,76.0,44.5,5.3,37.7,0.5,2.6,4.3,2.4,7.9,9.0,13.5,10.3,10.5,44.2,2020-08-21T13:38:31.141Z
283,38.0,74.6,69.6,35.1,3.3,28.2,1.1,2.2,4.1,2.7,7.3,9.0,10.8,8.6,8.8,64.7,2020-10-08T02:32:57.399Z
284,38.0,74.4,69.7,35.0,3.3,28.1,1.1,2.2,4.1,2.7,7.2,9.0,10.7,8.6,8.7,64.7,2020-10-08T02:33:02.782Z
285,46.1,76.9,79.2,45.7,6.1,37.8,0.7,2.8,4.2,2.3,5.7,9.0,12.5,9.5,9.5,51.7,2020-08-21T05:24:00.166Z
286,46.4,74.2,79.3,45.9,6.0,38.0,0.7,2.8,4.2,2.4,5.6,9.0,12.5,9.5,9.5,51.6,2020-08-21T05:24:11.180Z
287,41.8,56.5,69.2,39.1,4.1,38.0,0.6,1.3,4.3,2.7,5.9,9.0,9.9,8.0,8.0,45.6,2020-09-01T14:02:40.248Z
288,32.0,74.4,48.9,74.4,6.4,24.2,0.3,1.1,4.5,2.9,6.1,9.0,12.9,9.5,9.7,30.3,2020-11-04T07:05:30.697Z
289,32.3,71.9,49.3,71.9,6.8,24.3,0.3,1.1,4.5,2.9,5.6,9.0,13.0,9.4,9.7,30.4,2020-11-04T07:05:39.971Z
290,30.5,22.1,57.3,23.2,3.3,27.3,1.1,0.4,4.1,2.4,8.5,9.0,11.0,10.3,10.0,65.0,2020-10-07T21:35:47.413Z
291,39.2,38.1,61.5,33.7,6.2,35.0,0.4,0.8,4.4,2.0,5.7,9.0,11.3,9.7,9.5,37.9,2020-08-12T11:20:02.950Z
292,39.3,38.1,61.5,34.0,6.2,35.0,0.4,0.8,4.4,2.1,5.7,9.0,11.3,9.7,9.5,37.8,2020-08-12T11:20:04.120Z
293,42.7,53.3,64.8,40.1,8.5,37.7,0.4,1.2,4.5,2.5,6.5,9.0,14.8,12.5,12.7,35.5,2020-09-02T20:24:01.224Z
294,41.8,74.0,78.7,37.1,6.7,39.0,0.5,1.4,4.4,2.3,8.8,9.0,16.0,12.5,12.2,40.7,2020-09-02T14:02:49.133Z
295,46.7,79.0,82.7,45.5,7.0,38.1,0.7,3.0,4.2,2.3,7.5,9.0,14.9,11.9,11.9,51.9,2020-08-21T06:57:16.739Z
296,46.7,79.2,82.7,45.5,7.0,38.2,0.7,3.0,4.2,2.2,7.5,9.0,14.9,12.0,11.9,51.9,2020-08-21T06:57:04.476Z
297,28.9,21.0,45.2,13.0,6.5,24.9,1.1,0.3,4.1,3.6,8.0,9.0,13.8,13.3,13.1,65.4,2020-10-08T01:44:53.889Z
298,28.9,21.3,45.4,12.7,6.6,25.0,1.1,0.3,4.1,3.4,7.9,9.0,13.9,13.3,13.1,65.4,2020-10-08T01:44:59.600Z
299,48.9,81.0,84.1,44.9,9.1,39.2,0.6,3.0,4.3,2.2,8.5,9.0,18.1,14.5,14.5,46.9,2020-08-21T13:10:07.179Z
300,43.0,65.6,77.2,40.4,3.4,38.8,0.6,2.1,4.3,2.5,8.3,9.0,11.8,9.1,9.2,45.8,2020-09-01T18:30:42.951Z
301,40.7,80.0,72.4,38.1,5.5,32.3,1.9,2.6,3.6,2.5,7.9,9.0,13.5,11.7,11.8,88.9,2020-10-07T14:03:53.145Z
302,39.1,31.5,72.7,36.2,0.1,36.2,0.5,0.8,4.3,2.3,7.2,9.0,6.5,5.1,4.8,44.1,2020-08-21T17:32:53.984Z
303,39.1,31.9,72.6,36.3,0.1,36.2,0.5,0.8,4.3,2.4,7.2,9.0,6.5,5.1,4.8,44.1,2020-08-21T17:32:56.044Z
304,43.2,67.3,70.5,42.7,4.7,37.8,0.4,2.1,4.5,2.6,8.3,9.0,13.2,9.6,10.0,35.8,2020-09-03T02:00:43.502Z
305,26.3,25.4,43.3,25.4,1.3,22.1,0.3,0.4,4.5,2.2,7.8,9.0,8.7,7.2,7.1,30.7,2020-11-04T13:13:41.849Z
306,42.7,42.3,50.1,40.7,8.9,35.0,0.8,1.6,4.2,3.3,5.1,9.0,14.0,12.7,12.9,54.6,2020-08-12T23:16:34.061Z
307,36.6,68.3,66.7,30.5,3.5,28.2,1.1,1.7,4.1,2.8,8.5,9.0,12.0,9.9,10.0,64.8,2020-10-07T17:26:02.791Z
308,45.4,74.0,73.6,45.7,9.5,37.5,0.7,2.1,4.2,2.3,5.4,9.0,15.3,12.7,12.6,51.3,2020-08-21T04:42:16.525Z
309,45.4,74.2,73.6,45.7,9.5,37.5,0.7,2.1,4.2,2.4,5.5,9.0,15.3,12.7,12.6,51.3,2020-08-21T04:42:14.387Z
310,43.9,78.5,79.2,41.7,5.5,38.8,0.6,2.6,4.3,2.4,8.5,9.0,14.4,11.1,11.4,45.9,2020-09-01T20:18:01.020Z
311,43.8,68.1,66.9,41.8,11.8,36.6,0.7,1.5,4.3,2.5,5.5,9.0,17.4,14.9,14.7,51.9,2020-08-21T03:13:13.166Z
312,44.2,69.6,68.1,42.4,12.0,36.7,0.7,1.5,4.3,2.5,5.5,9.0,17.7,15.0,14.9,51.9,2020-08-21T03:29:22.733Z
313,44.0,69.0,67.8,42.2,11.8,36.8,0.7,1.5,4.2,2.5,5.7,9.0,17.5,14.9,14.8,51.8,2020-08-21T03:17:36.316Z
314,43.9,70.2,67.5,41.9,11.9,36.5,0.7,1.5,4.2,2.5,5.7,9.0,17.7,15.1,14.9,51.8,2020-08-21T03:25:26.515Z
315,43.9,67.9,67.8,42.0,11.6,36.8,0.7,1.5,4.2,2.5,5.8,9.0,17.5,14.9,14.8,51.8,2020-08-21T03:16:50.054Z
316,44.1,70.0,68.0,42.2,12.1,36.6,0.7,1.5,4.2,2.5,5.5,9.0,17.7,15.0,14.9,51.8,2020-08-21T03:29:55.418Z
317,43.8,68.5,67.0,41.5,12.1,36.5,0.7,1.5,4.3,2.5,5.4,9.0,17.6,15.1,14.9,51.8,2020-08-21T03:23:14.342Z
318,42.3,54.4,64.9,39.4,8.8,38.1,0.4,1.2,4.5,2.5,6.3,9.0,15.1,12.6,12.8,36.1,2020-09-02T20:19:09.130Z
319,42.7,52.3,64.8,40.3,9.1,38.1,0.4,1.2,4.5,2.5,6.0,9.0,15.1,12.6,12.8,36.0,2020-09-02T20:19:01.299Z
